id,name,city,zipcode,membersCount,lat,lng
290,En-marche-Trevoux-290,Trevoux,01600,4,45.9605,4.8335
291,En-marche-Tronsanges-291,Tronsanges,58000,1,46.95,3.1833
292,En-marche-Troyes-292,Troyes,10000,44,48.3,4.0833
293,En-marche-Urcel-293,Urcel,02000,2,49.5926,3.6579
294,En-marche-Ussel-294,Ussel,19200,2,45.45,2.4
295,En-marche-Valence-295,Valence,26600,11,45.0031,4.8692
296,Valenciennes Watteau,Valenciennes,59300,60,50.3592,3.525
297,En-marche-Valenciennes-297,Valenciennes,59300,2,50.3333,3.5333
298,En-marche-Vallon_Pont_d_Arc-298,Vallon_Pont_d_Arc,07150,5,44.3501,4.4041
299,En-marche-Verdun-299,Verdun,55100,11,49.2198,5.4324
300,En-marche-Vernouillet-78,Vernouillet,78540,15,48.9715,1.9808
301,En-marche-Versailles-301,Versailles,78000,1,48.8,2.1333
302,En-marche-Versailles-302,Versailles,78000,0,48.8,2.1333
303,En-marche-Vidauban-303,Vidauban,83550,4,43.4278,6.4329
304,En-marche-Vienne-304,Vienne,38200,6,45.5126,4.90535
305,En-marche-Pays de Vierzon-305,Vierzon,18100,18,47.2167,2.0833
306,En-marche-Villeneuve_-sur-Lot-306,Villeneuve_-sur-Lot,47300,3,44.3942,0.6881
307,En Marche - Villeneuve d'Ascq Nord,Villeneuve_d_Ascq,59650,43,50.6413,3.15375
308,EMa / VILLENEUVE-VALENTON-ABLON,Villeneuve-Saint-Georges,94190,13,48.7301,2.44627
309,En-marche-Wattrelos-309,Wattrelos,59150,24,50.7012,3.2181
310,En-marche-Poitiers-310,Poitiers,86000,1,46.5833,0.3333
311,En-marche-Gap-311,Gap,05000,3,44.5543,6.1627
312,En-marche-Fleurymerogis,fleury-merogis,91700,3,48.6373,2.3638
313,En-marche-FRESNES-313,FRESNES,94260,12,48.7557,2.3224
314,En-marche-Saint-Denis-314,Saint-Denis,93200,12,48.9451,2.34989
315,En-marche-Chamboret-315,Chamboret,87140,4,46.0091,1.1731
316,En-marche-AUXERRE-316,AUXERRE,89000,17,47.8004,3.5314
317,En-marche-Loudun-317,Loudun,86200,3,47.01,0.0836
320,En-marche-BOLLENE,BOLLENE,84500,5,44.2879,4.75747
321,En-marche-SORGUES,SORGUES,84700,17,44.0102,4.8738
322,En-marche-Charleville_Mezieres-322,Charleville_Mezieres,08000,16,49.7292,4.7127
323,En-marche-Aspremont-323,Aspremont,06790,4,43.7854,7.2446
324,En-marche-Saint_Cezaire_sur_Siagne-324,Saint_Cezaire_sur_Siagne,06530,7,43.6436,6.8528
325,En-marche-Montmarault-325,Montmarault,03390,1,46.2691,2.9772
326,En-marche-Bourg-en-Bresse-326,Bourg-en-Bresse,01000,46,46.2022,5.1892
327,En-marche-Saint_Genis_Pouilly-327,Saint_Genis_Pouilly,01630,13,46.213,5.9505
328,En Marche - Miribel,Miribel,01700,15,45.8258,4.9544
329,En-marche-Forcalquier-329,Forcalquier,04300,24,43.9363,5.8381
330,En-marche-Antibes-330,Antibes,06600,35,43.5624,7.1278
331,En-marche-Valderoure-331,Valderoure,06750,1,43.7797,6.7314
332,En-marche-Troyes-332,Troyes,10000,1,48.3,4.0833
333,En-marche-Troyes-333,Troyes,10000,2,48.3,4.0833
